task_id,category,difficulty_level,solved_by_n_of_4_reference_models,base_scene,azimuth,elevation,distance_pct,cam_rot,cam_vert,initstate,noise_type,noise_severity,light,table,language,added_objects,layout_level,instruction_clean,task_language_raw,variant_name
10,Background Textures,3,2,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,2,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket table 2,pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_2
11,Background Textures,3,2,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,20,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket table 20,pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_20
12,Background Textures,1,4,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,21,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket table 21,pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_21
13,Background Textures,3,2,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,22,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket table 22,pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_22
14,Background Textures,3,2,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,24,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket table 24,pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_24
15,Background Textures,3,2,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,27,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket table 27,pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_27
16,Background Textures,3,2,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,28,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket table 28,pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_28
17,Background Textures,4,1,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,5,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket table 5,pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_5
18,Background Textures,3,2,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,8,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket table 8,pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_8
19,Background Textures,3,2,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,9,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket table 9,pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_9
20,Background Textures,2,3,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,10,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket tb 10,pick_up_the_alphabet_soup_and_place_it_in_the_basket_tb_10
21,Background Textures,3,2,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,12,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket tb 12,pick_up_the_alphabet_soup_and_place_it_in_the_basket_tb_12
22,Background Textures,3,2,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,18,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket tb 18,pick_up_the_alphabet_soup_and_place_it_in_the_basket_tb_18
23,Background Textures,2,3,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,2,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket tb 2,pick_up_the_alphabet_soup_and_place_it_in_the_basket_tb_2
24,Background Textures,2,3,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,20,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket tb 20,pick_up_the_alphabet_soup_and_place_it_in_the_basket_tb_20
25,Background Textures,1,4,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,21,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket tb 21,pick_up_the_alphabet_soup_and_place_it_in_the_basket_tb_21
26,Background Textures,1,4,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,22,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket tb 22,pick_up_the_alphabet_soup_and_place_it_in_the_basket_tb_22
27,Background Textures,2,3,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,5,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket tb 5,pick_up_the_alphabet_soup_and_place_it_in_the_basket_tb_5
28,Background Textures,3,2,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,6,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket tb 6,pick_up_the_alphabet_soup_and_place_it_in_the_basket_tb_6
29,Background Textures,2,3,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,7,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket tb 7,pick_up_the_alphabet_soup_and_place_it_in_the_basket_tb_7
30,Background Textures,2,3,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,8,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket tb 8,pick_up_the_alphabet_soup_and_place_it_in_the_basket_tb_8
31,Background Textures,2,3,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,9,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket tb 9,pick_up_the_alphabet_soup_and_place_it_in_the_basket_tb_9
32,Background Textures,1,4,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,1,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket table 1,pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_1
33,Background Textures,1,4,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,11,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket table 11,pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_11
34,Background Textures,2,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,12,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket table 12,pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_12
35,Background Textures,1,4,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,13,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket table 13,pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_13
36,Background Textures,1,4,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,14,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket table 14,pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_14
37,Background Textures,2,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,15,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket table 15,pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_15
38,Background Textures,3,2,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,16,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket table 16,pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_16
39,Background Textures,2,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,17,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket table 17,pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_17
40,Background Textures,2,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,18,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket table 18,pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_18
41,Background Textures,1,4,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,19,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket table 19,pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_19
42,Background Textures,1,4,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,2,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket table 2,pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_2
43,Background Textures,3,2,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,20,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket table 20,pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_20
44,Background Textures,2,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,21,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket table 21,pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_21
45,Background Textures,2,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,22,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket table 22,pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_22
46,Background Textures,3,2,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,23,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket table 23,pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_23
47,Background Textures,3,2,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,24,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket table 24,pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_24
48,Background Textures,3,2,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,25,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket table 25,pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_25
49,Background Textures,2,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,26,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket table 26,pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_26
50,Background Textures,1,4,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,27,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket table 27,pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_27
51,Background Textures,3,2,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,28,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket table 28,pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_28
52,Background Textures,4,1,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,3,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket table 3,pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_3
53,Background Textures,3,2,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,4,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket table 4,pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_4
54,Background Textures,1,4,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,5,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket table 5,pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_5
55,Background Textures,1,4,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,6,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket table 6,pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_6
56,Background Textures,3,2,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,7,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket table 7,pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_7
57,Background Textures,5,0,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,9,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket table 9,pick_up_the_bbq_sauce_and_place_it_in_the_basket_table_9
58,Background Textures,2,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,1,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket tb 1,pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_1
59,Background Textures,3,2,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,10,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket tb 10,pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_10
60,Background Textures,3,2,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,11,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket tb 11,pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_11
61,Background Textures,3,2,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,12,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket tb 12,pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_12
62,Background Textures,3,2,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,13,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket tb 13,pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_13
63,Background Textures,3,2,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,14,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket tb 14,pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_14
64,Background Textures,3,2,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,15,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket tb 15,pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_15
65,Background Textures,3,2,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,16,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket tb 16,pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_16
66,Background Textures,2,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,17,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket tb 17,pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_17
67,Background Textures,1,4,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,18,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket tb 18,pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_18
68,Background Textures,2,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,19,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket tb 19,pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_19
69,Background Textures,2,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,2,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket tb 2,pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_2
70,Background Textures,2,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,21,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket tb 21,pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_21
71,Background Textures,1,4,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,22,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket tb 22,pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_22
72,Background Textures,3,2,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,3,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket tb 3,pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_3
73,Background Textures,3,2,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,4,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket tb 4,pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_4
74,Background Textures,3,2,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,5,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket tb 5,pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_5
75,Background Textures,2,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,6,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket tb 6,pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_6
76,Background Textures,3,2,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,7,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket tb 7,pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_7
77,Background Textures,4,1,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,8,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket tb 8,pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_8
78,Background Textures,4,1,pick_up_the_bbq_sauce_and_place_it_in_the_basket,,,,,,,,,,9,,,,pick up the bbq sauce and place it in the basket,pick up the bbq sauce and place it in the basket tb 9,pick_up_the_bbq_sauce_and_place_it_in_the_basket_tb_9
79,Background Textures,4,1,pick_up_the_butter_and_place_it_in_the_basket,,,,,,,,,,12,,,,pick up the butter and place it in the basket,pick up the butter and place it in the basket table 12,pick_up_the_butter_and_place_it_in_the_basket_table_12
80,Background Textures,4,1,pick_up_the_butter_and_place_it_in_the_basket,,,,,,,,,,14,,,,pick up the butter and place it in the basket,pick up the butter and place it in the basket table 14,pick_up_the_butter_and_place_it_in_the_basket_table_14
81,Background Textures,3,2,pick_up_the_butter_and_place_it_in_the_basket,,,,,,,,,,15,,,,pick up the butter and place it in the basket,pick up the butter and place it in the basket table 15,pick_up_the_butter_and_place_it_in_the_basket_table_15
82,Background Textures,2,3,pick_up_the_butter_and_place_it_in_the_basket,,,,,,,,,,17,,,,pick up the butter and place it in the basket,pick up the butter and place it in the basket table 17,pick_up_the_butter_and_place_it_in_the_basket_table_17
83,Background Textures,1,4,pick_up_the_butter_and_place_it_in_the_basket,,,,,,,,,,19,,,,pick up the butter and place it in the basket,pick up the butter and place it in the basket table 19,pick_up_the_butter_and_place_it_in_the_basket_table_19
84,Background Textures,3,2,pick_up_the_butter_and_place_it_in_the_basket,,,,,,,,,,2,,,,pick up the butter and place it in the basket,pick up the butter and place it in the basket table 2,pick_up_the_butter_and_place_it_in_the_basket_table_2
85,Background Textures,2,3,pick_up_the_butter_and_place_it_in_the_basket,,,,,,,,,,22,,,,pick up the butter and place it in the basket,pick up the butter and place it in the basket table 22,pick_up_the_butter_and_place_it_in_the_basket_table_22
86,Background Textures,3,2,pick_up_the_butter_and_place_it_in_the_basket,,,,,,,,,,24,,,,pick up the butter and place it in the basket,pick up the butter and place it in the basket table 24,pick_up_the_butter_and_place_it_in_the_basket_table_24
87,Background Textures,3,2,pick_up_the_butter_and_place_it_in_the_basket,,,,,,,,,,25,,,,pick up the butter and place it in the basket,pick up the butter and place it in the basket table 25,pick_up_the_butter_and_place_it_in_the_basket_table_25
88,Background Textures,1,4,pick_up_the_butter_and_place_it_in_the_basket,,,,,,,,,,26,,,,pick up the butter and place it in the basket,pick up the butter and place it in the basket table 26,pick_up_the_butter_and_place_it_in_the_basket_table_26
89,Background Textures,2,3,pick_up_the_butter_and_place_it_in_the_basket,,,,,,,,,,27,,,,pick up the butter and place it in the basket,pick up the butter and place it in the basket table 27,pick_up_the_butter_and_place_it_in_the_basket_table_27
90,Background Textures,2,3,pick_up_the_butter_and_place_it_in_the_basket,,,,,,,,,,3,,,,pick up the butter and place it in the basket,pick up the butter and place it in the basket table 3,pick_up_the_butter_and_place_it_in_the_basket_table_3
91,Background Textures,4,1,pick_up_the_butter_and_place_it_in_the_basket,,,,,,,,,,4,,,,pick up the butter and place it in the basket,pick up the butter and place it in the basket table 4,pick_up_the_butter_and_place_it_in_the_basket_table_4
92,Background Textures,1,4,pick_up_the_butter_and_place_it_in_the_basket,,,,,,,,,,5,,,,pick up the butter and place it in the basket,pick up the butter and place it in the basket table 5,pick_up_the_butter_and_place_it_in_the_basket_table_5
93,Background Textures,4,1,pick_up_the_butter_and_place_it_in_the_basket,,,,,,,,,,6,,,,pick up the butter and place it in the basket,pick up the butter and place it in the basket table 6,pick_up_the_butter_and_place_it_in_the_basket_table_6
94,Background Textures,3,2,pick_up_the_butter_and_place_it_in_the_basket,,,,,,,,,,7,,,,pick up the butter and place it in the basket,pick up the butter and place it in the basket table 7,pick_up_the_butter_and_place_it_in_the_basket_table_7
95,Background Textures,2,3,pick_up_the_butter_and_place_it_in_the_basket,,,,,,,,,,8,,,,pick up the butter and place it in the basket,pick up the butter and place it in the basket table 8,pick_up_the_butter_and_place_it_in_the_basket_table_8
96,Background Textures,3,2,pick_up_the_butter_and_place_it_in_the_basket,,,,,,,,,,9,,,,pick up the butter and place it in the basket,pick up the butter and place it in the basket table 9,pick_up_the_butter_and_place_it_in_the_basket_table_9
97,Background Textures,2,3,pick_up_the_butter_and_place_it_in_the_basket,,,,,,,,,,19,,,,pick up the butter and place it in the basket,pick up the butter and place it in the basket tb 19,pick_up_the_butter_and_place_it_in_the_basket_tb_19
98,Background Textures,1,4,pick_up_the_butter_and_place_it_in_the_basket,,,,,,,,,,21,,,,pick up the butter and place it in the basket,pick up the butter and place it in the basket tb 21,pick_up_the_butter_and_place_it_in_the_basket_tb_21
99,Background Textures,1,4,pick_up_the_butter_and_place_it_in_the_basket,,,,,,,,,,22,,,,pick up the butter and place it in the basket,pick up the butter and place it in the basket tb 22,pick_up_the_butter_and_place_it_in_the_basket_tb_22
100,Background Textures,3,2,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,,,,,,,,,,1,,,,pick up the chocolate pudding and place it in the basket,pick up the chocolate pudding and place it in the basket table 1,pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_1
101,Background Textures,3,2,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,,,,,,,,,,10,,,,pick up the chocolate pudding and place it in the basket,pick up the chocolate pudding and place it in the basket table 10,pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_10
102,Background Textures,2,3,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,,,,,,,,,,12,,,,pick up the chocolate pudding and place it in the basket,pick up the chocolate pudding and place it in the basket table 12,pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_12
103,Background Textures,1,4,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,,,,,,,,,,15,,,,pick up the chocolate pudding and place it in the basket,pick up the chocolate pudding and place it in the basket table 15,pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_15
104,Background Textures,3,2,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,,,,,,,,,,16,,,,pick up the chocolate pudding and place it in the basket,pick up the chocolate pudding and place it in the basket table 16,pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_16
105,Background Textures,3,2,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,,,,,,,,,,17,,,,pick up the chocolate pudding and place it in the basket,pick up the chocolate pudding and place it in the basket table 17,pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_17
106,Background Textures,1,4,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,,,,,,,,,,2,,,,pick up the chocolate pudding and place it in the basket,pick up the chocolate pudding and place it in the basket table 2,pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_2
107,Background Textures,2,3,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,,,,,,,,,,21,,,,pick up the chocolate pudding and place it in the basket,pick up the chocolate pudding and place it in the basket table 21,pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_21
108,Background Textures,3,2,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,,,,,,,,,,22,,,,pick up the chocolate pudding and place it in the basket,pick up the chocolate pudding and place it in the basket table 22,pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_22
109,Background Textures,1,4,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,,,,,,,,,,23,,,,pick up the chocolate pudding and place it in the basket,pick up the chocolate pudding and place it in the basket table 23,pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_23
110,Background Textures,3,2,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,,,,,,,,,,24,,,,pick up the chocolate pudding and place it in the basket,pick up the chocolate pudding and place it in the basket table 24,pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_24
111,Background Textures,1,4,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,,,,,,,,,,27,,,,pick up the chocolate pudding and place it in the basket,pick up the chocolate pudding and place it in the basket table 27,pick_up_the_chocolate_pudding_and_place_it_in_the_basket_table_27
