task_id,category,difficulty_level,solved_by_n_of_4_reference_models,base_scene,azimuth,elevation,distance_pct,cam_rot,cam_vert,initstate,noise_type,noise_severity,light,table,language,added_objects,layout_level,instruction_clean,task_language_raw,variant_name
56,Background Textures,3,2,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,10,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside tb 10,open_the_top_drawer_and_put_the_bowl_inside_tb_10
57,Background Textures,2,3,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,11,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside tb 11,open_the_top_drawer_and_put_the_bowl_inside_tb_11
58,Background Textures,3,2,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,13,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside tb 13,open_the_top_drawer_and_put_the_bowl_inside_tb_13
59,Background Textures,4,1,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,15,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside tb 15,open_the_top_drawer_and_put_the_bowl_inside_tb_15
60,Background Textures,3,2,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,16,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside tb 16,open_the_top_drawer_and_put_the_bowl_inside_tb_16
61,Background Textures,4,1,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,17,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside tb 17,open_the_top_drawer_and_put_the_bowl_inside_tb_17
62,Background Textures,4,1,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,18,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside tb 18,open_the_top_drawer_and_put_the_bowl_inside_tb_18
63,Background Textures,4,1,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,19,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside tb 19,open_the_top_drawer_and_put_the_bowl_inside_tb_19
64,Background Textures,4,1,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,2,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside tb 2,open_the_top_drawer_and_put_the_bowl_inside_tb_2
65,Background Textures,3,2,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,20,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside tb 20,open_the_top_drawer_and_put_the_bowl_inside_tb_20
66,Background Textures,5,0,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,21,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside tb 21,open_the_top_drawer_and_put_the_bowl_inside_tb_21
67,Background Textures,4,1,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,22,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside tb 22,open_the_top_drawer_and_put_the_bowl_inside_tb_22
68,Background Textures,3,2,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,3,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside tb 3,open_the_top_drawer_and_put_the_bowl_inside_tb_3
69,Background Textures,4,1,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,4,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside tb 4,open_the_top_drawer_and_put_the_bowl_inside_tb_4
70,Background Textures,3,2,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,5,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside tb 5,open_the_top_drawer_and_put_the_bowl_inside_tb_5
71,Background Textures,4,1,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,6,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside tb 6,open_the_top_drawer_and_put_the_bowl_inside_tb_6
72,Background Textures,4,1,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,7,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside tb 7,open_the_top_drawer_and_put_the_bowl_inside_tb_7
73,Background Textures,1,4,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,8,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside tb 8,open_the_top_drawer_and_put_the_bowl_inside_tb_8
74,Background Textures,2,3,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,9,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside tb 9,open_the_top_drawer_and_put_the_bowl_inside_tb_9
75,Background Textures,3,2,push_the_plate_to_the_front_of_the_stove,,,,,,,,,,12,,,,push the plate to the front of the stove,push the plate to the front of the stove table 12,push_the_plate_to_the_front_of_the_stove_table_12
76,Background Textures,4,1,push_the_plate_to_the_front_of_the_stove,,,,,,,,,,14,,,,push the plate to the front of the stove,push the plate to the front of the stove table 14,push_the_plate_to_the_front_of_the_stove_table_14
77,Background Textures,2,3,push_the_plate_to_the_front_of_the_stove,,,,,,,,,,15,,,,push the plate to the front of the stove,push the plate to the front of the stove table 15,push_the_plate_to_the_front_of_the_stove_table_15
78,Background Textures,1,4,push_the_plate_to_the_front_of_the_stove,,,,,,,,,,17,,,,push the plate to the front of the stove,push the plate to the front of the stove table 17,push_the_plate_to_the_front_of_the_stove_table_17
79,Background Textures,2,3,push_the_plate_to_the_front_of_the_stove,,,,,,,,,,19,,,,push the plate to the front of the stove,push the plate to the front of the stove table 19,push_the_plate_to_the_front_of_the_stove_table_19
80,Background Textures,3,2,push_the_plate_to_the_front_of_the_stove,,,,,,,,,,2,,,,push the plate to the front of the stove,push the plate to the front of the stove table 2,push_the_plate_to_the_front_of_the_stove_table_2
81,Background Textures,3,2,push_the_plate_to_the_front_of_the_stove,,,,,,,,,,22,,,,push the plate to the front of the stove,push the plate to the front of the stove table 22,push_the_plate_to_the_front_of_the_stove_table_22
82,Background Textures,2,3,push_the_plate_to_the_front_of_the_stove,,,,,,,,,,23,,,,push the plate to the front of the stove,push the plate to the front of the stove table 23,push_the_plate_to_the_front_of_the_stove_table_23
83,Background Textures,1,4,push_the_plate_to_the_front_of_the_stove,,,,,,,,,,24,,,,push the plate to the front of the stove,push the plate to the front of the stove table 24,push_the_plate_to_the_front_of_the_stove_table_24
84,Background Textures,2,3,push_the_plate_to_the_front_of_the_stove,,,,,,,,,,25,,,,push the plate to the front of the stove,push the plate to the front of the stove table 25,push_the_plate_to_the_front_of_the_stove_table_25
85,Background Textures,2,3,push_the_plate_to_the_front_of_the_stove,,,,,,,,,,26,,,,push the plate to the front of the stove,push the plate to the front of the stove table 26,push_the_plate_to_the_front_of_the_stove_table_26
86,Background Textures,1,4,push_the_plate_to_the_front_of_the_stove,,,,,,,,,,27,,,,push the plate to the front of the stove,push the plate to the front of the stove table 27,push_the_plate_to_the_front_of_the_stove_table_27
87,Background Textures,2,3,push_the_plate_to_the_front_of_the_stove,,,,,,,,,,3,,,,push the plate to the front of the stove,push the plate to the front of the stove table 3,push_the_plate_to_the_front_of_the_stove_table_3
88,Background Textures,3,2,push_the_plate_to_the_front_of_the_stove,,,,,,,,,,4,,,,push the plate to the front of the stove,push the plate to the front of the stove table 4,push_the_plate_to_the_front_of_the_stove_table_4
89,Background Textures,2,3,push_the_plate_to_the_front_of_the_stove,,,,,,,,,,6,,,,push the plate to the front of the stove,push the plate to the front of the stove table 6,push_the_plate_to_the_front_of_the_stove_table_6
90,Background Textures,1,4,push_the_plate_to_the_front_of_the_stove,,,,,,,,,,7,,,,push the plate to the front of the stove,push the plate to the front of the stove table 7,push_the_plate_to_the_front_of_the_stove_table_7
91,Background Textures,4,1,push_the_plate_to_the_front_of_the_stove,,,,,,,,,,8,,,,push the plate to the front of the stove,push the plate to the front of the stove table 8,push_the_plate_to_the_front_of_the_stove_table_8
92,Background Textures,4,1,push_the_plate_to_the_front_of_the_stove,,,,,,,,,,9,,,,push the plate to the front of the stove,push the plate to the front of the stove table 9,push_the_plate_to_the_front_of_the_stove_table_9
93,Background Textures,1,4,push_the_plate_to_the_front_of_the_stove,,,,,,,,,,1,,,,push the plate to the front of the stove,push the plate to the front of the stove tb 1,push_the_plate_to_the_front_of_the_stove_tb_1
94,Background Textures,2,3,push_the_plate_to_the_front_of_the_stove,,,,,,,,,,12,,,,push the plate to the front of the stove,push the plate to the front of the stove tb 12,push_the_plate_to_the_front_of_the_stove_tb_12
95,Background Textures,2,3,push_the_plate_to_the_front_of_the_stove,,,,,,,,,,16,,,,push the plate to the front of the stove,push the plate to the front of the stove tb 16,push_the_plate_to_the_front_of_the_stove_tb_16
96,Background Textures,2,3,push_the_plate_to_the_front_of_the_stove,,,,,,,,,,17,,,,push the plate to the front of the stove,push the plate to the front of the stove tb 17,push_the_plate_to_the_front_of_the_stove_tb_17
97,Background Textures,1,4,push_the_plate_to_the_front_of_the_stove,,,,,,,,,,19,,,,push the plate to the front of the stove,push the plate to the front of the stove tb 19,push_the_plate_to_the_front_of_the_stove_tb_19
98,Background Textures,3,2,push_the_plate_to_the_front_of_the_stove,,,,,,,,,,21,,,,push the plate to the front of the stove,push the plate to the front of the stove tb 21,push_the_plate_to_the_front_of_the_stove_tb_21
99,Background Textures,1,4,push_the_plate_to_the_front_of_the_stove,,,,,,,,,,22,,,,push the plate to the front of the stove,push the plate to the front of the stove tb 22,push_the_plate_to_the_front_of_the_stove_tb_22
100,Background Textures,2,3,push_the_plate_to_the_front_of_the_stove,,,,,,,,,,7,,,,push the plate to the front of the stove,push the plate to the front of the stove tb 7,push_the_plate_to_the_front_of_the_stove_tb_7
101,Background Textures,2,3,push_the_plate_to_the_front_of_the_stove,,,,,,,,,,9,,,,push the plate to the front of the stove,push the plate to the front of the stove tb 9,push_the_plate_to_the_front_of_the_stove_tb_9
102,Background Textures,1,4,put_the_bowl_on_the_plate,,,,,,,,,,1,,,,put the bowl on the plate,put the bowl on the plate table 1,put_the_bowl_on_the_plate_table_1
103,Background Textures,2,3,put_the_bowl_on_the_plate,,,,,,,,,,10,,,,put the bowl on the plate,put the bowl on the plate table 10,put_the_bowl_on_the_plate_table_10
104,Background Textures,1,4,put_the_bowl_on_the_plate,,,,,,,,,,12,,,,put the bowl on the plate,put the bowl on the plate table 12,put_the_bowl_on_the_plate_table_12
105,Background Textures,2,3,put_the_bowl_on_the_plate,,,,,,,,,,13,,,,put the bowl on the plate,put the bowl on the plate table 13,put_the_bowl_on_the_plate_table_13
106,Background Textures,2,3,put_the_bowl_on_the_plate,,,,,,,,,,15,,,,put the bowl on the plate,put the bowl on the plate table 15,put_the_bowl_on_the_plate_table_15
107,Background Textures,1,4,put_the_bowl_on_the_plate,,,,,,,,,,16,,,,put the bowl on the plate,put the bowl on the plate table 16,put_the_bowl_on_the_plate_table_16
108,Background Textures,1,4,put_the_bowl_on_the_plate,,,,,,,,,,17,,,,put the bowl on the plate,put the bowl on the plate table 17,put_the_bowl_on_the_plate_table_17
109,Background Textures,3,2,put_the_bowl_on_the_plate,,,,,,,,,,2,,,,put the bowl on the plate,put the bowl on the plate table 2,put_the_bowl_on_the_plate_table_2
110,Background Textures,1,4,put_the_bowl_on_the_plate,,,,,,,,,,21,,,,put the bowl on the plate,put the bowl on the plate table 21,put_the_bowl_on_the_plate_table_21
111,Background Textures,2,3,put_the_bowl_on_the_plate,,,,,,,,,,22,,,,put the bowl on the plate,put the bowl on the plate table 22,put_the_bowl_on_the_plate_table_22
112,Background Textures,2,3,put_the_bowl_on_the_plate,,,,,,,,,,23,,,,put the bowl on the plate,put the bowl on the plate table 23,put_the_bowl_on_the_plate_table_23
113,Background Textures,1,4,put_the_bowl_on_the_plate,,,,,,,,,,24,,,,put the bowl on the plate,put the bowl on the plate table 24,put_the_bowl_on_the_plate_table_24
114,Background Textures,2,3,put_the_bowl_on_the_plate,,,,,,,,,,27,,,,put the bowl on the plate,put the bowl on the plate table 27,put_the_bowl_on_the_plate_table_27
115,Background Textures,1,4,put_the_bowl_on_the_plate,,,,,,,,,,3,,,,put the bowl on the plate,put the bowl on the plate table 3,put_the_bowl_on_the_plate_table_3
116,Background Textures,3,2,put_the_bowl_on_the_plate,,,,,,,,,,4,,,,put the bowl on the plate,put the bowl on the plate table 4,put_the_bowl_on_the_plate_table_4
117,Background Textures,1,4,put_the_bowl_on_the_plate,,,,,,,,,,6,,,,put the bowl on the plate,put the bowl on the plate table 6,put_the_bowl_on_the_plate_table_6
118,Background Textures,2,3,put_the_bowl_on_the_plate,,,,,,,,,,8,,,,put the bowl on the plate,put the bowl on the plate table 8,put_the_bowl_on_the_plate_table_8
119,Background Textures,2,3,put_the_bowl_on_the_plate,,,,,,,,,,1,,,,put the bowl on the plate,put the bowl on the plate tb 1,put_the_bowl_on_the_plate_tb_1
120,Background Textures,1,4,put_the_bowl_on_the_plate,,,,,,,,,,11,,,,put the bowl on the plate,put the bowl on the plate tb 11,put_the_bowl_on_the_plate_tb_11
121,Background Textures,2,3,put_the_bowl_on_the_plate,,,,,,,,,,13,,,,put the bowl on the plate,put the bowl on the plate tb 13,put_the_bowl_on_the_plate_tb_13
122,Background Textures,3,2,put_the_bowl_on_the_plate,,,,,,,,,,15,,,,put the bowl on the plate,put the bowl on the plate tb 15,put_the_bowl_on_the_plate_tb_15
123,Background Textures,2,3,put_the_bowl_on_the_plate,,,,,,,,,,16,,,,put the bowl on the plate,put the bowl on the plate tb 16,put_the_bowl_on_the_plate_tb_16
124,Background Textures,1,4,put_the_bowl_on_the_plate,,,,,,,,,,18,,,,put the bowl on the plate,put the bowl on the plate tb 18,put_the_bowl_on_the_plate_tb_18
125,Background Textures,2,3,put_the_bowl_on_the_plate,,,,,,,,,,19,,,,put the bowl on the plate,put the bowl on the plate tb 19,put_the_bowl_on_the_plate_tb_19
126,Background Textures,3,2,put_the_bowl_on_the_plate,,,,,,,,,,2,,,,put the bowl on the plate,put the bowl on the plate tb 2,put_the_bowl_on_the_plate_tb_2
127,Background Textures,2,3,put_the_bowl_on_the_plate,,,,,,,,,,20,,,,put the bowl on the plate,put the bowl on the plate tb 20,put_the_bowl_on_the_plate_tb_20
128,Background Textures,3,2,put_the_bowl_on_the_plate,,,,,,,,,,21,,,,put the bowl on the plate,put the bowl on the plate tb 21,put_the_bowl_on_the_plate_tb_21
129,Background Textures,2,3,put_the_bowl_on_the_plate,,,,,,,,,,22,,,,put the bowl on the plate,put the bowl on the plate tb 22,put_the_bowl_on_the_plate_tb_22
130,Background Textures,2,3,put_the_bowl_on_the_plate,,,,,,,,,,3,,,,put the bowl on the plate,put the bowl on the plate tb 3,put_the_bowl_on_the_plate_tb_3
131,Background Textures,1,4,put_the_bowl_on_the_plate,,,,,,,,,,9,,,,put the bowl on the plate,put the bowl on the plate tb 9,put_the_bowl_on_the_plate_tb_9
132,Background Textures,3,2,put_the_bowl_on_the_stove,,,,,,,,,,1,,,,put the bowl on the stove,put the bowl on the stove table 1,put_the_bowl_on_the_stove_table_1
133,Background Textures,3,2,put_the_bowl_on_the_stove,,,,,,,,,,24,,,,put the bowl on the stove,put the bowl on the stove table 24,put_the_bowl_on_the_stove_table_24
134,Background Textures,3,2,put_the_bowl_on_the_stove,,,,,,,,,,3,,,,put the bowl on the stove,put the bowl on the stove table 3,put_the_bowl_on_the_stove_table_3
135,Background Textures,2,3,put_the_bowl_on_the_stove,,,,,,,,,,4,,,,put the bowl on the stove,put the bowl on the stove table 4,put_the_bowl_on_the_stove_table_4
136,Background Textures,3,2,put_the_bowl_on_the_stove,,,,,,,,,,5,,,,put the bowl on the stove,put the bowl on the stove table 5,put_the_bowl_on_the_stove_table_5
137,Background Textures,1,4,put_the_bowl_on_the_stove,,,,,,,,,,7,,,,put the bowl on the stove,put the bowl on the stove table 7,put_the_bowl_on_the_stove_table_7
138,Background Textures,4,1,put_the_bowl_on_top_of_the_cabinet,,,,,,,,,,1,,,,put the bowl on top of the cabinet,put the bowl on top of the cabinet table 1,put_the_bowl_on_top_of_the_cabinet_table_1
